service,group,n_total,n_hot,pct_area,global_n_hot,pct_share,grouping_var,expected_share,relative_intensity
Pollination,"Tropical & Subtropical Grasslands, Savannas & Shrublands",221617,17630,7.955165894313162,84590,20.841707057571817,WWF_biome,14.246171153073522,1.462969020491892
Pollination,Flooded Grasslands & Savannas,15012,1186,7.900346389555023,84590,1.4020569807305827,WWF_biome,0.9650140618722378,1.4528876170057372
N_export,Mangroves,10188,773,7.587357675696898,84590,0.9138196004255823,WWF_biome,0.6549136199276818,1.3953284412171638
Nature_Access,Tropical & Subtropical Dry Broadleaf Forests,39350,2906,7.3850063532401515,77003,3.773878939781567,WWF_biome,2.5295299316994777,1.491928951892681
N_export,Temperate Broadleaf & Mixed Forests,147675,10854,7.349923819197563,84590,12.831303936635535,WWF_biome,9.492969063881077,1.3516639367820318
Sed_Ret_Ratio,Tropical & Subtropical Dry Broadleaf Forests,39350,2871,7.296060991105464,58381,4.9176958256967165,WWF_biome,2.5295299316994777,1.9441145028842324
N_export,Tropical & Subtropical Dry Broadleaf Forests,39350,2859,7.265565438373571,84590,3.379832131457619,WWF_biome,2.5295299316994777,1.3361502819564826
Pollination,Temperate Broadleaf & Mixed Forests,147675,10352,7.009988149652954,84590,12.237853174134058,WWF_biome,9.492969063881077,1.2891491683773348
N_export,"Tropical & Subtropical Grasslands, Savannas & Shrublands",221617,14995,6.766177684924893,84590,17.726681640855894,WWF_biome,14.246171153073522,1.2443119944569438
N_Ret_Ratio,"Mediterranean Forests, Woodlands & Scrub",38493,2569,6.673940716493908,57514,4.4667385332266925,WWF_biome,2.4744395339493774,1.8051516199700655
N_Ret_Ratio,Montane Grasslands & Shrublands,64673,4278,6.614816074714332,57514,7.438188962687346,WWF_biome,4.157364403374849,1.7891597274102797
Nature_Access,"Mediterranean Forests, Woodlands & Scrub",38493,2514,6.531057594887383,77003,3.2648078646286507,WWF_biome,2.4744395339493774,1.3194130710552423
N_Ret_Ratio,Flooded Grasslands & Savannas,15012,959,6.38822275512923,57514,1.6674201064088745,WWF_biome,0.9650140618722378,1.727871304977555
Nature_Access,Temperate Broadleaf & Mixed Forests,147675,9392,6.359911968850517,77003,12.196927392439255,WWF_biome,9.492969063881077,1.284838000667907
Sed_export,Boreal Forests/Taiga,165202,10311,6.241449861381824,84590,12.189384087953659,WWF_biome,10.619654479710727,1.147813623432096
Nature_Access,"Tropical & Subtropical Grasslands, Savannas & Shrublands",221617,13715,6.188604664804595,77003,17.81099437684246,WWF_biome,14.246171153073522,1.2502302678709463
